gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.8.1.1,Festlegung von Rollen und Zuständigkeiten,normal-SdT,teilweise,0.6798,ISMS.1.A4; ISMS.1.A6; ISMS.1.A9; ISMS.1.A1; IND.1.A1,ISMS.1.A4 Benennung eines Informationssicherheitsbeauftragten; ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A9 Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A1 übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitungsebene; IND.1.A1 Einbindung in die Sicherheitsorganisation,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
GC.8.1.4,Festlegung einer Sicherheitsorganisation,normal-SdT,teilweise,0.6926,ISMS.1.A6; IND.1.A1; ISMS.1.A9; ISMS.1.A2,ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; IND.1.A1 Einbindung in die Sicherheitsorganisation; ISMS.1.A9 Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A2 Festlegung der Sicherheitsziele und -strategie,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:43
BER.3.9,Anmeldeversuchsgrenze am System,normal-SdT,teilweise,0.6786,APP.3.1.A1; OPS.1.1.2.A6; SYS.2.1.A37,APP.3.1.A1 Authentisierung bei Webanwendungen; OPS.1.1.2.A6 Schutz administrativer Kennungen; SYS.2.1.A37 Schutz vor unbefugten Anmeldungen,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
DET.3.1,Protokollierung sicherheitsrelevanter Ereignisse,normal-SdT,teilweise,0.6942,APP.3.1.A5; DER.1.A11; DER.1.A6; DER.2.1.A17; APP.4.3.A8,APP.3.1.A5 Protokollierung sicherheitsrelevanter Ereignisse von Webanwendungen; DER.1.A11 Nutzung einer zentralen Protokollierungsinfrastruktur für die Auswertung sicherheitsrelevanter Ereignisse; DER.1.A6 Kontinuierliche überwachung und Auswertung von Protokolldaten; DER.2.1.A17 Nachbereitung von Sicherheitsvorfällen; APP.4.3.A8 Datenbank-Protokollierung,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
KONF.7.3,Host-basierte Angriffserkennung,erhöht,teilweise,0.6566,SYS.1.1.A27,SYS.1.1.A27 Hostbasierte Angriffserkennung,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.2.2.11,Physische Segmentierung,erhöht,teilweise,0.6711,NET.1.1.A31; NET.1.1.A23; NET.1.1.A33; NET.1.1.A22,NET.1.1.A31 Physische Trennung von Sicherheitssegmenten; NET.1.1.A23 Trennung von Sicherheitssegmenten; NET.1.1.A33 Mikrosegmentierung des Netzes; NET.1.1.A22 Spezifikation des Segmentierungskonzepts,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.8.3,Redundante Server,erhöht,teilweise,0.6748,APP.3.2.A15; SYS.1.2.2.A12; SYS.1.1.A28,APP.3.2.A15 Redundanz; SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit; SYS.1.1.A28 Redundanz,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
GEB.9.1.3,Redundante Stromversorgung,erhöht,teilweise,0.7445,INF.2.A25; INF.2.A3,INF.2.A25 Redundante Auslegung von unterbrechungsfreien Stromversorgungen; INF.2.A3 Einsatz einer unterbrechungsfreien Stromversorgung,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.1.1.1,Dokumentation,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
ARCH.1.1.2,Zuweisung der Aufgaben,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
